# r0
14|31|38|16|23|30|45|47
39|25|5|0|26|10|3|2
18|34|29|17|44|15|41|21
11|35|12|32|22|24|40|9
37|4|8|28|42|6|46|13
27|33|1|36|20|19|7|43
# r1
3|5|14|10|30|38|39|0
44|47|17|31|16|21|18|45
29|11|22|32|34|35|24|23
4|42|25|46|26|6|12|28
19|36|9|41|33|37|20|2
7|43|13|15|8|1|40|27
# r2
45|18|0|10|39|5|38|31
24|14|32|44|3|30|34|29
23|22|16|42|11|26|28|47
2|36|19|33|37|46|12|41
1|15|43|17|25|9|7|40
6|35|8|20|21|27|4|13
# r3
45|10|24|31|32|38|44|3
26|0|11|5|23|16|34|39
36|28|42|2|47|41|12|46
19|22|25|29|18|15|7|33
43|37|6|40|27|17|20|14
30|9|13|35|8|4|21|1
# r3
23|45|26|44|24|11|39|31
12|2|0|42|41|28|3|36
29|38|46|33|15|47|10|34
17|7|6|32|22|40|20|16
13|8|27|25|21|5|9|43
30|18|4|19|35|1|37|14
# r4
0|42|36|11|44|3|31|2
29|26|15|46|33|38|23|12
39|40|17|45|41|16|32|10
5|28|27|6|34|20|21|9
14|13|22|18|8|19|25|47
35|30|7|24|4|43|1|37
# r5
29|12|44|11|26|31|33|42
10|23|32|41|46|45|38|15
40|34|6|2|9|28|39|17
36|18|14|25|21|8|0|3
35|20|4|47|30|16|27|43
13|19|1|22|7|24|37|5
# r6
44|11|23|46|41|42|29|45
28|15|2|34|26|38|6|9
14|39|32|12|31|21|25|40
33|4|16|10|35|0|27|43
5|36|22|37|3|7|19|1
47|24|18|30|20|8|13|17
# r6
28|46|45|9|29|6|23|2
21|15|11|38|34|32|42|31
39|33|41|35|10|40|44|0
19|3|37|26|4|27|7|14
8|36|43|47|13|16|5|17
20|1|24|18|30|12|22|25
# r7
31|6|21|29|42|11|23|9
45|33|35|32|15|10|28|39
46|26|0|4|44|19|14|38
47|37|16|40|7|36|34|27
24|43|25|3|8|12|22|17
18|20|5|13|30|41|2|1
# r8
32|9|29|31|42|39|10|33
28|21|35|46|15|23|26|14
16|6|19|0|27|34|38|37
4|47|3|17|7|36|12|44
1|13|40|24|18|22|8|41
5|30|25|45|43|20|2|11
# r9
39|21|26|32|14|29|23|28
19|27|37|46|33|9|34|0
16|6|44|4|35|47|42|38
3|12|40|13|17|18|15|36
24|8|11|41|5|2|22|45
7|30|20|1|43|10|31|25
# r9
33|28|37|32|14|9|0|29
34|35|16|26|42|44|19|27
40|18|23|46|36|4|13|39
6|22|15|3|38|24|17|2
11|10|47|7|41|45|31|20
43|8|30|5|1|21|25|12
# r10
0|34|14|19|16|44|28|33
32|36|46|40|29|39|37|18
24|42|3|6|35|26|17|22
41|7|31|4|11|27|45|20
12|15|8|5|25|47|1|9
43|23|13|2|38|10|30|21
# r11
14|46|33|34|40|19|32|28
37|42|44|18|29|39|26|24
41|27|3|17|45|22|4|11
35|15|9|8|5|1|31|6
43|12|16|21|10|20|30|36
2|13|47|38|23|7|25|0
# r12
44|40|29|33|46|42|14|39
45|3|28|34|26|27|24|41
5|19|35|15|9|6|11|18
21|37|30|17|4|12|43|10
8|16|7|2|31|23|36|13
38|25|20|32|1|47|0|22
# r12
40|14|33|26|42|28|24|29
15|44|9|27|39|3|35|18
19|11|10|17|34|5|41|4
2|21|7|46|23|31|30|8
1|12|45|16|43|22|36|38
32|0|47|20|37|13|25|6
